arm_1_x0,arm_1_y0,arm_1_x1,arm_1_y1,arm_1_x2,arm_1_y2,arm_1_x3,arm_1_y3,arm_2_x0,arm_2_y0,arm_2_x1,arm_2_y1,arm_2_x2,arm_2_y2,arm_2_x3,arm_2_y3
0,0,6.123233995736766e-17,1.0,1.0,1.0,2.0,1.0,4,0,4.0,1.0,5.0,1.0,6.0,1.0
0,0,0.0007646894391841402,0.999999707624988,1.000744552454969,1.0063458531427056,2.000630238051268,0.9912258088432211,4,0,4.010097304616739,0.9999490209203051,5.009994098510845,0.9855823386210227,6.009735029253684,0.9628211568098448
0,0,0.0015293784312158292,0.9999988305001232,1.0014488313053518,1.012690865951094,2.000991599826115,0.9824542342298209,4,0,4.020193579730884,0.9997960888789535,5.019780776610307,0.9710656897390583,6.018744633815424,0.9255551195616304
0,0,0.002294066528943666,0.9999973686259184,1.0021128385369529,1.0190347828515074,2.0010841657110667,0.973688476673496,4,0,4.030287795944808,0.9995412194686148,5.029359068805365,0.9564530337933388,6.027028250823927,0.8882166560288786
0,0,0.0030587532852160452,0.9999953220032283,1.0027365777574386,1.025377348291216,2.000908069961743,0.9649317351283679,4,0,4.040378924070806,0.9991844386753048,5.03872805240133,0.9417473603923551,6.034585628405581,0.85082053093626
0,0,0.003823438252882368,0.9999926906332498,1.0033200541961753,1.0317183067487108,2.0004635006728253,0.9561872062094761,4,0,4.050465935236027,0.9987257828757367,5.047886847584803,0.9269516676994803,6.041416825409836,0.8133814992440768
0,0,0.0045881209847928595,0.9999894745175215,1.0038632747039995,1.038057402743994,1.9997506997360195,0.9474580834138105,4,0,4.06054780098738,0.9981652988336114,5.056834617497806,0.9120689618179112,6.047522210996978,0.775914299441554
0,0,0.005352801033799716,0.9999856736579242,1.0043662477529263,1.0443943808488685,1.9987699627860254,0.9387475563420662,4,0,4.070623493396389,0.9975030436948502,5.065570568303093,0.8971022561750565,6.05290246407855,0.738433646852227
0,0,0.006117477952756042,0.9999812880566804,1.0048289834357877,1.050728985697225,1.9975216391345225,0.9300588099212966,4,0,4.080691985164002,0.9967390849817682,5.0740939492406385,0.8820545709064982,6.057558572610763,0.7009542269547007
0,0,0.006882151294516766,0.9999763177163544,1.0052514934658112,1.0570609619953268,1.996006131692193,0.9213950236286489,4,0,4.0907522497253295,0.9958735005861896,5.082404052675299,0.8669289322396516,6.0614918327412495,0.6634906887220443
0,0,0.007646820611939578,0.9999707626398527,1.0056337911761284,1.0633900545320913,1.9942238968787924,0.9127593707163575,4,0,4.100803261354315,0.9949063787615062,5.090500214135646,0.8517283718772507,6.064703847809668,0.626057637983086
0,0,0.008411485457883856,0.9999646228304239,1.0059758915192207,1.069716008189369,1.9921754445212914,0.9041550174381783,4,0,4.110843995268312,0.9938378181136791,5.09838181234398,0.8364559263807866,6.067196527202677,0.5886696308088502
0,0,0.00917614538521181,0.9999578982916578,1.0062778110663,1.076038567952218,1.9898613377401149,0.8955851222774378,4,0,4.1208734277325725,0.9926679275911853,5.10604826923753,0.8211146365540238,6.068972085063891,0.5513411669273727
0,0,0.00994079994678831,0.9999505890274869,1.0065395680066225,1.0823574789191737,1.9872821928234985,0.8870528351768803,4,0,4.130890536164622,0.9913968264739089,5.1134990499808355,0.8057075468267212,6.070033038859523,0.514086683170111
0,0,0.010705448695482025,0.9999426950421851,1.00676118214674,1.0886724863125166,1.984438679089998,0.8785612967704886,4,0,4.140894299238522,0.9900246443609804,5.120733662969332,0.7902377046386838,6.070382207800451,0.4769205469531546
0,0,0.011470091184164359,0.9999342163403685,1.0069426749096821,1.0949833354885323,1.9813315187391725,0.8701136376174563,4,0,4.150883696989004,0.9885515211575623,5.1277516598241455,0.7747081598242715,6.070022711121549,0.4398570497964181
0,0,0.012234726965710601,0.9999251529269951,1.0070840693340783,1.1012897719477674,1.9779614866904915,0.8617129774384885,4,0,4.160857710915459,0.9869776070605851,5.134552635378097,0.7591219639974893,6.068957966219179,0.40291040088398034
0,0,0.012999355592999733,0.9999155048073646,1.00718539007321,1.1075915413452788,1.9743294104104827,0.8533624243546065,4,0,4.170815324085785,0.9853030625434329,5.141136227652955,0.7434821699377853,6.067191686647817,0.36609472066871646
0,0,0.013763976618915597,0.9999052719871188,1.0072466633940018,1.1138883895008789,1.9704361697281794,0.8450650741286376,4,0,4.180755521240072,0.9835280583395829,5.147502117827922,0.7277918309766829,6.064727879976863,0.32942403452434216
0,0,0.014528589596345802,0.9998944544722412,1.007267917175945,1.120180062409371,1.9662826966388927,0.8368240094095558,4,0,4.190677288894114,0.9816527754251962,5.153650030199404,0.7120540003853684,6.061570845508727,0.2929122664479631
0,0,0.015293194078182672,0.9998830522690576,1.0072491809099569,1.12646630625078,1.9618699750963657,0.8286422989798583,4,0,4.200579615442742,0.9796774050006674,5.1595797321320465,0.6962717307633631,6.057725171859385,0.25657323281620575
0,0,0.01605778961732416,0.9998710653842353,1.0071904856971752,1.132746867400576,1.9571990407933502,0.8205229970061456,4,0,4.210461491262969,0.9776021484711289,5.165291034001097,0.6804480734284011,6.0531957344026655,0.2204206361979673
0,0,0.01682237576667279,0.9998584938247836,1.0070918642476887,1.1390214924398872,1.9522709809306569,0.8124691422930784,4,0,4.220321908816924,0.9754272174259169,5.170783789126077,0.6645860778076371,6.04798769257955,0.1844680592268007
0,0,0.017586952079136783,0.9998453375980538,1.006953350879201,1.145289928165707,1.9470869339747348,0.8044837575408882,4,0,4.230159862754584,0.9731528336169973,5.176057893695825,0.6486887908303093,6.042106487073912,0.14872895853591667
